source_path,relative_path,file_name,extension,dataset_group,class_label,specimen,sample_id,marker,dilution,magnification,image_index,replicate_or_position,parse_confidence,parsed_pattern,recommended_split_group,recommended_train_path,size_mb,modified_time,notes
E:\data\CRF\CRF\类器官1 ZX Cell 1-7.png,CRF\CRF\类器官1 ZX Cell 1-7.png,类器官1 ZX Cell 1-7.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-7,,,,,1-7,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-7.png,21.57,2026-07-23T03:14:06.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 1-8.png,CRF\CRF\类器官1 ZX Cell 1-8.png,类器官1 ZX Cell 1-8.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,1-8,,,,,1-8,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 1-8.png,21.13,2026-07-23T03:14:40.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-1.png,CRF\CRF\类器官1 ZX Cell 2-1.png,类器官1 ZX Cell 2-1.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-1,,,,,2-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-1.png,24.15,2026-07-23T07:27:58.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-1(20).png,CRF\CRF\类器官1 ZX Cell 2-1(20).png,类器官1 ZX Cell 2-1(20).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-1,,,20x,,2-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-1(20).png,19.19,2026-07-23T07:30:26.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-1(50).png,CRF\CRF\类器官1 ZX Cell 2-1(50).png,类器官1 ZX Cell 2-1(50).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-1,,,50x,,2-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-1(50).png,14.16,2026-07-23T07:31:30.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-2.png,CRF\CRF\类器官1 ZX Cell 2-2.png,类器官1 ZX Cell 2-2.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-2,,,,,2-2,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-2.png,24.07,2026-07-23T07:28:20.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-2(20).png,CRF\CRF\类器官1 ZX Cell 2-2(20).png,类器官1 ZX Cell 2-2(20).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-2,,,20x,,2-2,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-2(20).png,18.4,2026-07-23T07:30:50.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-2(50).png,CRF\CRF\类器官1 ZX Cell 2-2(50).png,类器官1 ZX Cell 2-2(50).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-2,,,50x,,2-2,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-2(50).png,14.79,2026-07-23T07:32:00.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-3.png,CRF\CRF\类器官1 ZX Cell 2-3.png,类器官1 ZX Cell 2-3.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-3,,,,,2-3,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-3.png,26.34,2026-07-23T07:29:06.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 2-4.png,CRF\CRF\类器官1 ZX Cell 2-4.png,类器官1 ZX Cell 2-4.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,2-4,,,,,2-4,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 2-4.png,25.54,2026-07-23T07:29:40.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 3-1.png,CRF\CRF\类器官1 ZX Cell 3-1.png,类器官1 ZX Cell 3-1.png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,3-1,,,,,3-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 3-1.png,20.41,2026-07-23T07:18:36.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 3-1(20).png,CRF\CRF\类器官1 ZX Cell 3-1(20).png,类器官1 ZX Cell 3-1(20).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,3-1,,,20x,,3-1,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 3-1(20).png,18.92,2026-07-23T07:21:14.000Z,
E:\data\CRF\CRF\类器官1 ZX Cell 3-2(20).png,CRF\CRF\类器官1 ZX Cell 3-2(20).png,类器官1 ZX Cell 3-2(20).png,.png,CRF,CRF__organoid_or_cell,类器官1 ZX Cell,3-2,,,20x,,3-2,medium,CRF_organoid_cell,类器官1 ZX Cell,dataset_by_class\CRF__organoid_or_cell\类器官1 ZX Cell 3-2(20).png,12.44,2026-07-28T08:12:04.000Z,
E:\data\CRF2\CRF2\人扁桃体_14_PD1_1.500（10）_1.png,CRF2\CRF2\人扁桃体_14_PD1_1.500（10）_1.png,人扁桃体_14_PD1_1.500（10）_1.png,.png,CRF2,人扁桃体_14__PD1__1:500__10x,人扁桃体_14,14,PD1,1:500,10x,1,1,high,CRF2_sample_marker_dilution_magnification,人扁桃体_14,dataset_by_class\人扁桃体_14__PD1__1_500__10x\人扁桃体_14_PD1_1.500（10）_1.png,17.1,2026-07-24T03:20:00.000Z,
E:\data\CRF2\CRF2\人扁桃体_14_PD1_1.500（10）_2.png,CRF2\CRF2\人扁桃体_14_PD1_1.500（10）_2.png,人扁桃体_14_PD1_1.500（10）_2.png,.png,CRF2,人扁桃体_14__PD1__1:500__10x,人扁桃体_14,14,PD1,1:500,10x,2,2,high,CRF2_sample_marker_dilution_magnification,人扁桃体_14,dataset_by_class\人扁桃体_14__PD1__1_500__10x\人扁桃体_14_PD1_1.500（10）_2.png,17.34,2026-07-24T03:23:54.000Z,
E:\data\CRF2\CRF2\人扁桃体_14_PD1_1.500（20）_1.png,CRF2\CRF2\人扁桃体_14_PD1_1.500（20）_1.png,人扁桃体_14_PD1_1.500（20）_1.png,.png,CRF2,人扁桃体_14__PD1__1:500__20x,人扁桃体_14,14,PD1,1:500,20x,1,1,high,CRF2_sample_marker_dilution_magnification,人扁桃体_14,dataset_by_class\人扁桃体_14__PD1__1_500__20x\人扁桃体_14_PD1_1.500（20）_1.png,17.8,2026-07-24T03:16:06.000Z,
E:\data\CRF2\CRF2\人扁桃体_14_PD1_1.500（20）_2.png,CRF2\CRF2\人扁桃体_14_PD1_1.500（20）_2.png,人扁桃体_14_PD1_1.500（20）_2.png,.png,CRF2,人扁桃体_14__PD1__1:500__20x,人扁桃体_14,14,PD1,1:500,20x,2,2,high,CRF2_sample_marker_dilution_magnification,人扁桃体_14,dataset_by_class\人扁桃体_14__PD1__1_500__20x\人扁桃体_14_PD1_1.500（20）_2.png,16.63,2026-07-24T03:18:18.000Z,
E:\data\CRF2\CRF2\人扁桃体_3_ki67_1.400(10）_1.png,CRF2\CRF2\人扁桃体_3_ki67_1.400(10）_1.png,人扁桃体_3_ki67_1.400(10）_1.png,.png,CRF2,人扁桃体_3__KI67__1:400__10x,人扁桃体_3,3,KI67,1:400,10x,1,1,high,CRF2_sample_marker_dilution_magnification,人扁桃体_3,dataset_by_class\人扁桃体_3__KI67__1_400__10x\人扁桃体_3_ki67_1.400(10）_1.png,18.32,2026-07-24T03:27:06.000Z,
E:\data\CRF2\CRF2\人扁桃体_3_ki67_1.400(10）_2.png,CRF2\CRF2\人扁桃体_3_ki67_1.400(10）_2.png,人扁桃体_3_ki67_1.400(10）_2.png,.png,CRF2,人扁桃体_3__KI67__1:400__10x,人扁桃体_3,3,KI67,1:400,10x,2,2,high,CRF2_sample_marker_dilution_magnification,人扁桃体_3,dataset_by_class\人扁桃体_3__KI67__1_400__10x\人扁桃体_3_ki67_1.400(10）_2.png,17.96,2026-07-24T03:27:58.000Z,
E:\data\CRF2\CRF2\人扁桃体_3_ki67_1.400(20）_1.png,CRF2\CRF2\人扁桃体_3_ki67_1.400(20）_1.png,人扁桃体_3_ki67_1.400(20）_1.png,.png,CRF2,人扁桃体_3__KI67__1:400__20x,人扁桃体_3,3,KI67,1:400,20x,1,1,high,CRF2_sample_marker_dilution_magnification,人扁桃体_3,dataset_by_class\人扁桃体_3__KI67__1_400__20x\人扁桃体_3_ki67_1.400(20）_1.png,18.36,2026-07-24T03:29:04.000Z,
E:\data\CRF2\CRF2\人扁桃体_3_ki67_1.400(20）_2.png,CRF2\CRF2\人扁桃体_3_ki67_1.400(20）_2.png,人扁桃体_3_ki67_1.400(20）_2.png,.png,CRF2,人扁桃体_3__KI67__1:400__20x,人扁桃体_3,3,KI67,1:400,20x,2,2,high,CRF2_sample_marker_dilution_magnification,人扁桃体_3,dataset_by_class\人扁桃体_3__KI67__1_400__20x\人扁桃体_3_ki67_1.400(20）_2.png,15.69,2026-07-28T08:12:04.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.1200（10）_1.png,CRF2\CRF2\TA0038190758_ki67_1.1200（10）_1.png,TA0038190758_ki67_1.1200（10）_1.png,.png,CRF2,TA0038190758__KI67__1:1200__10x,TA0038190758,TA0038190758,KI67,1:1200,10x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_1200__10x\TA0038190758_ki67_1.1200（10）_1.png,15.8,2026-07-24T02:37:06.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.1200（20）_1.png,CRF2\CRF2\TA0038190758_ki67_1.1200（20）_1.png,TA0038190758_ki67_1.1200（20）_1.png,.png,CRF2,TA0038190758__KI67__1:1200__20x,TA0038190758,TA0038190758,KI67,1:1200,20x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_1200__20x\TA0038190758_ki67_1.1200（20）_1.png,14.02,2026-07-24T02:26:44.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.1200（20）_2.png,CRF2\CRF2\TA0038190758_ki67_1.1200（20）_2.png,TA0038190758_ki67_1.1200（20）_2.png,.png,CRF2,TA0038190758__KI67__1:1200__20x,TA0038190758,TA0038190758,KI67,1:1200,20x,2,2,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_1200__20x\TA0038190758_ki67_1.1200（20）_2.png,13.91,2026-07-24T02:34:48.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.1200（20）_3.png,CRF2\CRF2\TA0038190758_ki67_1.1200（20）_3.png,TA0038190758_ki67_1.1200（20）_3.png,.png,CRF2,TA0038190758__KI67__1:1200__20x,TA0038190758,TA0038190758,KI67,1:1200,20x,3,3,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_1200__20x\TA0038190758_ki67_1.1200（20）_3.png,14.44,2026-07-24T02:35:44.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.400（10）_1.png,CRF2\CRF2\TA0038190758_ki67_1.400（10）_1.png,TA0038190758_ki67_1.400（10）_1.png,.png,CRF2,TA0038190758__KI67__1:400__10x,TA0038190758,TA0038190758,KI67,1:400,10x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_400__10x\TA0038190758_ki67_1.400（10）_1.png,15.22,2026-07-24T02:46:22.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.400（20）_1.png,CRF2\CRF2\TA0038190758_ki67_1.400（20）_1.png,TA0038190758_ki67_1.400（20）_1.png,.png,CRF2,TA0038190758__KI67__1:400__20x,TA0038190758,TA0038190758,KI67,1:400,20x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_400__20x\TA0038190758_ki67_1.400（20）_1.png,14.57,2026-07-24T02:40:16.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.400（20）_2.png,CRF2\CRF2\TA0038190758_ki67_1.400（20）_2.png,TA0038190758_ki67_1.400（20）_2.png,.png,CRF2,TA0038190758__KI67__1:400__20x,TA0038190758,TA0038190758,KI67,1:400,20x,2,2,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_400__20x\TA0038190758_ki67_1.400（20）_2.png,13.65,2026-07-24T02:43:06.000Z,
E:\data\CRF2\CRF2\TA0038190758_ki67_1.400（20）_3.png,CRF2\CRF2\TA0038190758_ki67_1.400（20）_3.png,TA0038190758_ki67_1.400（20）_3.png,.png,CRF2,TA0038190758__KI67__1:400__20x,TA0038190758,TA0038190758,KI67,1:400,20x,3,3,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__KI67__1_400__20x\TA0038190758_ki67_1.400（20）_3.png,14.36,2026-07-24T02:45:06.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.1000（10）_1.png,CRF2\CRF2\TA0038190758_PD1_1.1000（10）_1.png,TA0038190758_PD1_1.1000（10）_1.png,.png,CRF2,TA0038190758__PD1__1:1000__10x,TA0038190758,TA0038190758,PD1,1:1000,10x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_1000__10x\TA0038190758_PD1_1.1000（10）_1.png,17.08,2026-07-24T03:07:24.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.1000（20）_1.png,CRF2\CRF2\TA0038190758_PD1_1.1000（20）_1.png,TA0038190758_PD1_1.1000（20）_1.png,.png,CRF2,TA0038190758__PD1__1:1000__20x,TA0038190758,TA0038190758,PD1,1:1000,20x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_1000__20x\TA0038190758_PD1_1.1000（20）_1.png,14.79,2026-07-24T03:04:44.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.1000（20）_2.png,CRF2\CRF2\TA0038190758_PD1_1.1000（20）_2.png,TA0038190758_PD1_1.1000（20）_2.png,.png,CRF2,TA0038190758__PD1__1:1000__20x,TA0038190758,TA0038190758,PD1,1:1000,20x,2,2,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_1000__20x\TA0038190758_PD1_1.1000（20）_2.png,16.21,2026-07-24T03:08:00.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.1000（20）_3.png,CRF2\CRF2\TA0038190758_PD1_1.1000（20）_3.png,TA0038190758_PD1_1.1000（20）_3.png,.png,CRF2,TA0038190758__PD1__1:1000__20x,TA0038190758,TA0038190758,PD1,1:1000,20x,3,3,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_1000__20x\TA0038190758_PD1_1.1000（20）_3.png,16.35,2026-07-24T03:08:38.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.500（10）_1.png,CRF2\CRF2\TA0038190758_PD1_1.500（10）_1.png,TA0038190758_PD1_1.500（10）_1.png,.png,CRF2,TA0038190758__PD1__1:500__10x,TA0038190758,TA0038190758,PD1,1:500,10x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_500__10x\TA0038190758_PD1_1.500（10）_1.png,17.47,2026-07-24T03:00:38.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.500（20）_1.png,CRF2\CRF2\TA0038190758_PD1_1.500（20）_1.png,TA0038190758_PD1_1.500（20）_1.png,.png,CRF2,TA0038190758__PD1__1:500__20x,TA0038190758,TA0038190758,PD1,1:500,20x,1,1,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_500__20x\TA0038190758_PD1_1.500（20）_1.png,15.09,2026-07-24T02:56:30.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.500（20）_2.png,CRF2\CRF2\TA0038190758_PD1_1.500（20）_2.png,TA0038190758_PD1_1.500（20）_2.png,.png,CRF2,TA0038190758__PD1__1:500__20x,TA0038190758,TA0038190758,PD1,1:500,20x,2,2,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_500__20x\TA0038190758_PD1_1.500（20）_2.png,15.11,2026-07-24T02:57:34.000Z,
E:\data\CRF2\CRF2\TA0038190758_PD1_1.500（20）_3.png,CRF2\CRF2\TA0038190758_PD1_1.500（20）_3.png,TA0038190758_PD1_1.500（20）_3.png,.png,CRF2,TA0038190758__PD1__1:500__20x,TA0038190758,TA0038190758,PD1,1:500,20x,3,3,high,CRF2_marker_dilution_magnification,TA0038190758,dataset_by_class\TA0038190758__PD1__1_500__20x\TA0038190758_PD1_1.500（20）_3.png,15.37,2026-07-24T02:58:54.000Z,
E:\data\CRF2\CRF2\TA0038190758空白（R6）（10）_1.png,CRF2\CRF2\TA0038190758空白（R6）（10）_1.png,TA0038190758空白（R6）（10）_1.png,.png,CRF2,TA0038190758__blank__10x,TA0038190758,TA0038190758,blank,,10x,1,1,high,CRF2_blank_control,TA0038190758,dataset_by_class\TA0038190758__blank__10x\TA0038190758空白（R6）（10）_1.png,15.83,2026-07-24T02:21:14.000Z,control=R6
E:\data\CRF2\CRF2\TA0038190758空白（R6）（20）_1.png,CRF2\CRF2\TA0038190758空白（R6）（20）_1.png,TA0038190758空白（R6）（20）_1.png,.png,CRF2,TA0038190758__blank__20x,TA0038190758,TA0038190758,blank,,20x,1,1,high,CRF2_blank_control,TA0038190758,dataset_by_class\TA0038190758__blank__20x\TA0038190758空白（R6）（20）_1.png,15.74,2026-07-24T02:09:56.000Z,control=R6
E:\data\CRF2\CRF2\TA0038190758空白（R6）（20）_2.png,CRF2\CRF2\TA0038190758空白（R6）（20）_2.png,TA0038190758空白（R6）（20）_2.png,.png,CRF2,TA0038190758__blank__20x,TA0038190758,TA0038190758,blank,,20x,2,2,high,CRF2_blank_control,TA0038190758,dataset_by_class\TA0038190758__blank__20x\TA0038190758空白（R6）（20）_2.png,15.84,2026-07-24T02:14:52.000Z,control=R6
E:\data\CRF2\CRF2\TA0038190758空白（R6）（20）_3.png,CRF2\CRF2\TA0038190758空白（R6）（20）_3.png,TA0038190758空白（R6）（20）_3.png,.png,CRF2,TA0038190758__blank__20x,TA0038190758,TA0038190758,blank,,20x,3,3,high,CRF2_blank_control,TA0038190758,dataset_by_class\TA0038190758__blank__20x\TA0038190758空白（R6）（20）_3.png,13.61,2026-07-24T02:19:52.000Z,control=R6
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_1.tif,sy2part123\肝SK类原位IKZF1序号3X20_1.tif,肝SK类原位IKZF1序号3X20_1.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,1,1,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_1.tif,25.99,2026-03-28T07:41:50.000Z,
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_10.tif,sy2part123\肝SK类原位IKZF1序号3X20_10.tif,肝SK类原位IKZF1序号3X20_10.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,10,10,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_10.tif,23.53,2026-03-28T07:43:32.000Z,
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_11.tif,sy2part123\肝SK类原位IKZF1序号3X20_11.tif,肝SK类原位IKZF1序号3X20_11.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,11,11,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_11.tif,25.09,2026-03-28T07:43:46.000Z,
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_12.tif,sy2part123\肝SK类原位IKZF1序号3X20_12.tif,肝SK类原位IKZF1序号3X20_12.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,12,12,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_12.tif,25.28,2026-03-28T07:43:56.000Z,
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_13.tif,sy2part123\肝SK类原位IKZF1序号3X20_13.tif,肝SK类原位IKZF1序号3X20_13.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,13,13,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_13.tif,24.92,2026-03-28T07:44:06.000Z,
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_14.tif,sy2part123\肝SK类原位IKZF1序号3X20_14.tif,肝SK类原位IKZF1序号3X20_14.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,14,14,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_14.tif,24.91,2026-03-28T07:44:16.000Z,
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_15.tif,sy2part123\肝SK类原位IKZF1序号3X20_15.tif,肝SK类原位IKZF1序号3X20_15.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,15,15,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_15.tif,24.52,2026-03-28T07:44:26.000Z,
E:\data\sy2part123\肝SK类原位IKZF1序号3X20_16.tif,sy2part123\肝SK类原位IKZF1序号3X20_16.tif,肝SK类原位IKZF1序号3X20_16.tif,.tif,sy2part123,肝SK类原位__IKZF1__序号3__20x,肝SK类原位,序号3,IKZF1,,20x,16,16,high,sy2_specimen_marker_sequence_magnification,肝SK类原位,dataset_by_class\肝SK类原位__IKZF1__序号3__20x\肝SK类原位IKZF1序号3X20_16.tif,24.75,2026-03-28T07:44:38.000Z,
